interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2019-06-01,2019-07-01,-0.000357461569365114,0.00047648063628003,0.00012298928416203762,0.00013531779090661088,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,June,6
2019-07-01,2019-08-01,-0.0001983911934075877,0.0012040024157613516,0.00013153860005765935,0.00013954421053037177,65536,48072,NUTS_SL_01m_2024.shp,SI0,2019,July,7
2019-08-01,2019-09-01,-0.00018338728114031255,0.0006088882219046354,0.00013923338532062323,0.00011919659795991951,65536,36757,NUTS_SL_01m_2024.shp,SI0,2019,August,8
2019-09-01,2019-10-01,-0.0003356069209985435,0.0004255786188878119,0.00010372396397493955,0.0001437490567425605,65536,45993,NUTS_SL_01m_2024.shp,SI0,2019,September,9
2019-10-01,2019-11-01,-0.0001949908910319209,0.00041562854312360287,3.611829002046492e-05,0.00012136384472261228,65536,62416,NUTS_SL_01m_2024.shp,SI0,2019,October,10
2019-11-01,2019-12-01,-0.00043809431372210383,0.0005800406215712428,6.902554619438522e-05,0.0001809536407280056,65536,48682,NUTS_SL_01m_2024.shp,SI0,2019,November,11
2019-12-01,2020-01-01,-0.0003321630647405982,0.0005512714851647615,5.442859364513395e-05,0.00013313609140699374,65536,35137,NUTS_SL_01m_2024.shp,SI0,2019,December,12
2020-01-01,2020-02-01,-0.00023137482639867812,0.0005626145866699517,7.392385022883555e-05,0.00016291854077861746,65536,58132,NUTS_SL_01m_2024.shp,SI0,2020,January,1
2020-02-01,2020-03-01,-0.00033925138995982707,0.0004119370714761317,3.449636268589842e-05,0.00012584308463653798,65536,52767,NUTS_SL_01m_2024.shp,SI0,2020,February,2
2020-03-01,2020-04-01,-0.0002806666889227927,0.00024774982011877,1.733896283142266e-06,8.710646618738236e-05,65536,47071,NUTS_SL_01m_2024.shp,SI0,2020,March,3
2020-04-01,2020-05-01,-0.0008101931889541447,0.00044145554420538247,9.534972139152278e-06,0.0001619356739135525,65536,60709,NUTS_SL_01m_2024.shp,SI0,2020,April,4
2020-05-01,2020-06-01,-0.0001240838464582339,0.0002899195533245802,5.0385429482438586e-05,7.663045807543033e-05,65536,63167,NUTS_SL_01m_2024.shp,SI0,2020,May,5
2020-06-01,2020-07-01,-0.0003113990242127329,0.00045825535198673606,9.931075258686702e-05,0.00011599406228184628,65536,45120,NUTS_SL_01m_2024.shp,SI0,2020,June,6
2020-07-01,2020-08-01,-0.00026536639779806137,0.0007842776249162853,0.00011946674814497205,0.00012623883022428307,65536,50739,NUTS_SL_01m_2024.shp,SI0,2020,July,7
2020-09-01,2020-10-01,-0.00045253560529090464,0.0006795692024752498,9.555881513702888e-05,0.00018505452327690242,65536,37362,NUTS_SL_01m_2024.shp,SI0,2020,September,9
2020-10-01,2020-11-01,-0.0004555745399557054,0.0007594921626150608,7.614207348463502e-05,0.00019119779564953957,65536,31731,NUTS_SL_01m_2024.shp,SI0,2020,October,10
2020-11-01,2020-12-01,-0.0002665261854417622,0.000464046053821221,6.721362931039069e-05,0.0001340187168008277,65536,58273,NUTS_SL_01m_2024.shp,SI0,2020,November,11
2021-02-01,2021-03-01,-0.0003329675819259137,0.000444215489551425,-6.054607217079957e-06,0.0001517222665491508,65536,43910,NUTS_SL_01m_2024.shp,SI0,2021,February,2
2021-03-01,2021-04-01,-0.00031709164613857865,0.0006459638825617731,0.00012990875888734752,0.0001537889756751399,65536,33749,NUTS_SL_01m_2024.shp,SI0,2021,March,3
2021-04-01,2021-05-01,-0.00032326907967217267,0.0003912999527528882,1.912431077841409e-05,0.00011298368886314782,65536,57394,NUTS_SL_01m_2024.shp,SI0,2021,April,4
2021-05-01,2021-06-01,-0.0002675122523214668,0.00030099463765509427,2.2944730393167723e-05,7.938870596255818e-05,65536,56546,NUTS_SL_01m_2024.shp,SI0,2021,May,5
