interval_from,interval_to,so2_B0_min,so2_B0_max,so2_B0_mean,so2_B0_stDev,so2_B0_sampleCount,so2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2023-04-01,2023-05-01,-0.0005830592126585543,0.0008600106230005622,5.300088832201426e-05,0.00021215039250193626,65536,55178,NUTS_SL_01m_2024.shp,SI0,2023,April,4
2023-05-01,2023-06-01,-0.0006954361451789737,0.0006368531612679362,-1.2890056766727744e-05,0.0002802226219387313,65536,62654,NUTS_SL_01m_2024.shp,SI0,2023,May,5
2023-06-01,2023-07-01,-0.0014596243854612112,0.00133585836738348,-6.119714829996773e-05,0.0004347645553503021,65536,33415,NUTS_SL_01m_2024.shp,SI0,2023,June,6
2023-07-01,2023-08-01,-0.0014455188065767288,0.001871107262559235,9.665152860028676e-05,0.0004279052808933948,65536,44207,NUTS_SL_01m_2024.shp,SI0,2023,July,7
2023-08-01,2023-09-01,-0.0011865696869790554,0.0013269605115056038,-2.039070119320823e-05,0.00039888880994756525,65536,46798,NUTS_SL_01m_2024.shp,SI0,2023,August,8
2023-09-01,2023-10-01,-0.0014932441990822554,0.006268225610256195,0.00046217866780753333,0.0014488596238536084,65536,53483,NUTS_SL_01m_2024.shp,SI0,2023,September,9
2023-10-01,2023-11-01,-0.0014927053125575185,0.005153514910489321,0.00022926214762743059,0.0009929322673086537,65536,55405,NUTS_SL_01m_2024.shp,SI0,2023,October,10
2024-02-01,2024-03-01,-0.0012632579309865832,0.007911873050034046,0.0015683471921525104,0.0020198792561393307,65536,63592,NUTS_SL_01m_2024.shp,SI0,2024,February,2
2024-03-01,2024-04-01,-0.0010508025297895074,0.0028276771772652864,0.00018614942456768384,0.0009392897601157787,65536,63870,NUTS_SL_01m_2024.shp,SI0,2024,March,3
2024-04-01,2024-05-01,-0.0013994353357702494,0.00586507236585021,0.00022004604358370598,0.0007296050371553708,65536,32234,NUTS_SL_01m_2024.shp,SI0,2024,April,4
2024-05-01,2024-06-01,-0.0014972951030358672,0.0013753927778452635,-1.674720305410868e-05,0.00039377000216697726,65536,57917,NUTS_SL_01m_2024.shp,SI0,2024,May,5
2024-06-01,2024-07-01,-0.001220067497342825,0.0014193422393873334,2.3602200652734034e-05,0.0004499153171011513,65536,42977,NUTS_SL_01m_2024.shp,SI0,2024,June,6
2024-07-01,2024-08-01,-0.00146850838791579,0.0016666592564433813,-8.078622659434009e-05,0.0006090282848879587,65536,32278,NUTS_SL_01m_2024.shp,SI0,2024,July,7
2024-08-01,2024-09-01,-0.0014833365567028522,0.002658566227182746,0.00011409297126700147,0.0007200006838279277,65536,34309,NUTS_SL_01m_2024.shp,SI0,2024,August,8
