interval_from,interval_to,o3_B0_min,o3_B0_max,o3_B0_mean,o3_B0_stDev,o3_B0_sampleCount,o3_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2023-11-01,2023-12-01,0.1319224089384079,0.1365155428647995,0.13456593328803165,0.0007053288073439594,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,November,11
2023-12-01,2024-01-01,0.13099661469459534,0.13540294766426086,0.13336692702070785,0.000766517902041449,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,December,12
2018-04-01,2018-05-01,0.14634466171264648,0.15222714841365814,0.14999322814426094,0.001174840234864296,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,April,4
2018-05-01,2018-06-01,0.13955770432949066,0.1462399810552597,0.14357012331410857,0.0011940156943958497,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,May,5
2018-06-01,2018-07-01,0.145520880818367,0.15423941612243652,0.14978934563782145,0.0015938557603855897,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,June,6
2018-07-01,2018-08-01,0.13880616426467896,0.1423337608575821,0.14074561022705384,0.000731445001200603,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,July,7
2018-08-01,2018-09-01,0.13599178194999695,0.1383070945739746,0.1373996588725045,0.0005115154384985785,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,August,8
2018-09-01,2018-10-01,0.123928003013134,0.1295785903930664,0.12704558778786257,0.001041901961050199,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,September,9
2018-10-01,2018-11-01,0.12726610898971558,0.13153058290481567,0.1296919974962026,0.0009452061581934509,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,October,10
2018-11-01,2018-12-01,0.13149289786815643,0.13547877967357635,0.13365771715058047,0.0007869974636355201,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,November,11
2018-12-01,2019-01-01,0.14429357647895813,0.15156184136867523,0.14780708594597078,0.001155675463779085,65536,32125,NUTS_SL_01m_2024.shp,SI041,2018,December,12
2019-01-01,2019-02-01,0.17551547288894653,0.18210498988628387,0.1786677345550108,0.0011769963438451386,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,January,1
2019-02-01,2019-03-01,0.12686343491077423,0.13133282959461212,0.12908715165654053,0.0008933986629948871,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,February,2
2019-03-01,2019-04-01,0.1587841510772705,0.1635477989912033,0.16136956999901608,0.0009835274675573354,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,March,3
2019-04-01,2019-05-01,0.15597690641880035,0.16333168745040894,0.15855970100615951,0.0012039569982142105,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,April,4
2019-05-01,2019-06-01,0.15074509382247925,0.1606312394142151,0.1547147178683072,0.0016712020811520865,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,May,5
2019-06-01,2019-07-01,0.14200027287006378,0.14711236953735352,0.14492852873200446,0.0008480250936254842,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,June,6
2019-07-01,2019-08-01,0.13609276711940765,0.14490754902362823,0.1402979665442666,0.0016446080182528197,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,July,7
2019-08-01,2019-09-01,0.12757740914821625,0.13484787940979004,0.13298579809006267,0.0011768432729669428,65536,32125,NUTS_SL_01m_2024.shp,SI041,2019,August,8
