Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Dobje,2021,17.826,12.838,54.192,1.717,9.625,227.872
Dobje,2022,16.688,13.699,65.797,1.415,5.733,159.299
Dobje,2023,15.804,12.721,62.546,1.37,6.462,191.637
Dobje,2024,13.872,11.355,64.708,0.465,3.871,179.77
Dobje,2025,11.588,9.719,69.841,0.43,3.175,169.182
Dobrepolje,2020,11.355,8.6,60.597,0.978,5.392,161.638
Dobrepolje,2021,13.471,9.338,62.363,0.916,6.511,201.657
Dobrepolje,2022,13.131,10.354,67.968,1.116,4.734,146.083
Dobrepolje,2023,12.98,9.961,67.349,1.201,4.819,175.954
Dobrepolje,2024,10.98,8.592,67.049,0.33,2.749,163.102
Dobrepolje,2025,9.412,7.641,72.205,0.321,2.365,156.276
Dobrna,2020,14.852,11.018,51.325,1.395,7.861,169.225
Dobrna,2021,16.421,11.661,56.902,1.53,9.098,216.664
Dobrna,2022,15.888,12.776,66.578,1.253,5.644,151.564
Dobrna,2023,14.637,11.529,63.869,1.304,6.538,184.225
Dobrna,2024,12.025,9.623,66.342,0.38,3.642,169.413
Dobrna,2025,10.724,8.836,70.483,0.379,3.132,163.439
Dobrova - Polhov Gradec,2020,18.582,14.741,51.793,1.636,13.611,201.02
Dobrova - Polhov Gradec,2021,19.97,14.512,55.079,1.283,15.592,249.361
Dobrova - Polhov Gradec,2022,21.902,18.372,58.372,1.62,10.905,188.272
Dobrova - Polhov Gradec,2023,20.175,16.107,65.133,1.661,12.045,229.72
Dobrova - Polhov Gradec,2024,18.99,16.132,58.001,0.703,8.958,214.943
Dobrova - Polhov Gradec,2025,15.879,13.617,63.187,0.647,7.603,192.15
DobrovnikDobronak,2020,16.66,12.736,50.238,1.221,7.259,189.433
DobrovnikDobronak,2021,18.369,13.681,56.325,1.399,7.822,238.203
DobrovnikDobronak,2022,14.858,12.239,62.419,1.409,4.98,163.48
DobrovnikDobronak,2023,15.485,12.723,54.874,1.394,6.84,204.086
DobrovnikDobronak,2024,14.221,11.847,60.86,0.448,4.345,191.442
DobrovnikDobronak,2025,11.246,9.491,66.754,0.437,3.38,176.294
Dol pri Ljubljani,2020,16.532,12.862,51.552,1.523,10.542,188.732
Dol pri Ljubljani,2021,18.934,13.479,56.988,1.243,12.468,239.435
Dol pri Ljubljani,2022,19.403,16.28,61.583,1.492,8.533,177.618
Dol pri Ljubljani,2023,19.44,15.487,64.825,1.56,9.994,220.272
Dol pri Ljubljani,2024,17.274,14.635,60.218,0.531,6.649,201.038
Dol pri Ljubljani,2025,13.319,11.309,66.152,0.45,4.993,177.709
Dolenjske Toplice,2020,12.149,9.316,55.987,1.004,5.572,166.923
Dolenjske Toplice,2021,14.812,10.388,55.136,1.113,6.699,209.477
Dolenjske Toplice,2022,13.511,10.817,65.857,1.226,4.701,148.925
Dolenjske Toplice,2023,14.399,11.304,59.571,1.249,5.486,179.737
Dolenjske Toplice,2024,11.787,9.272,64.974,0.357,3.247,168.02
Dolenjske Toplice,2025,10.104,8.223,70.787,0.385,2.79,160.667
Sveti Jurij v Slov. goricah,2020,15.226,12.572,52.286,1.243,7.902,194.369
Sveti Jurij v Slov. goricah,2021,17.106,13.117,57.53,1.37,8.925,240.418
Sveti Jurij v Slov. goricah,2022,16.595,13.849,64.486,1.08,7.186,167.011
Sveti Jurij v Slov. goricah,2023,14.944,12.103,60.897,1.278,8.557,211.026
Sveti Jurij v Slov. goricah,2024,14.473,12.052,59.972,0.471,6.212,196.591
Sveti Jurij v Slov. goricah,2025,12.229,10.319,65.265,0.422,4.786,181.963
Sveti Tomaž,2020,16.337,13.0,54.606,1.266,7.145,188.985
Sveti Tomaž,2021,18.642,14.293,57.418,1.541,8.467,239.966
Sveti Tomaž,2022,15.807,13.247,65.966,1.307,5.564,167.121
Sveti Tomaž,2023,15.569,12.938,59.387,1.422,7.193,202.694
Sveti Tomaž,2024,14.931,12.399,62.45,0.481,4.895,193.285
Sveti Tomaž,2025,12.25,10.293,67.981,0.442,3.901,178.587
Tabor,2020,16.183,12.15,46.07,1.657,10.496,174.808
Tabor,2021,17.513,12.474,56.142,1.523,10.532,227.134
Tabor,2022,17.644,14.181,63.543,1.582,6.881,158.588
Tabor,2023,16.639,13.089,63.01,1.375,7.555,194.229
Tabor,2024,13.557,11.089,63.188,0.411,4.551,179.383
Tabor,2025,11.947,10.05,67.802,0.404,3.883,170.233
Tišina,2020,16.388,12.874,53.542,1.201,8.239,192.672
Tišina,2021,17.935,13.616,59.437,1.384,8.42,240.575
Tišina,2022,15.651,13.052,64.335,1.126,6.023,168.291
Tišina,2023,15.339,12.598,58.842,1.273,7.824,209.779
Tišina,2024,14.588,12.204,60.277,0.449,5.318,195.737
Tišina,2025,11.8,9.975,66.143,0.432,4.128,179.905
Tolmin,2020,12.114,8.865,61.695,0.817,6.827,154.787
Tolmin,2021,12.467,8.429,60.974,0.721,8.288,189.383
Tolmin,2022,12.119,9.023,64.961,0.787,4.307,138.281
Tolmin,2023,12.382,9.611,69.953,0.996,5.558,171.784
Tolmin,2024,9.753,7.671,70.288,0.294,2.839,157.284
Tolmin,2025,8.56,6.968,73.756,0.278,2.422,152.353
