Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Mežica,2025,9.992,8.319,67.469,0.288,3.216,161.607
Miklavž na Dravskem polju,2020,17.02,14.118,49.306,1.413,10.423,196.345
Miklavž na Dravskem polju,2021,18.729,13.992,55.727,1.678,10.814,238.056
Miklavž na Dravskem polju,2022,18.085,15.16,63.937,1.313,8.866,170.209
Miklavž na Dravskem polju,2023,16.494,13.272,59.267,1.546,11.851,213.857
Miklavž na Dravskem polju,2024,15.901,12.899,61.28,0.647,8.724,196.735
Miklavž na Dravskem polju,2025,13.639,11.236,66.744,0.633,7.579,182.664
Miren - Kostanjevica,2020,15.189,10.837,62.632,1.217,9.838,177.544
Miren - Kostanjevica,2021,15.271,10.105,61.964,1.339,11.539,214.312
Miren - Kostanjevica,2022,15.408,12.018,61.687,1.474,7.451,163.954
Miren - Kostanjevica,2023,15.125,11.838,68.01,1.826,8.263,197.167
Miren - Kostanjevica,2024,12.694,10.15,69.299,0.548,4.432,178.055
Miren - Kostanjevica,2025,10.13,8.145,73.909,0.435,3.684,166.826
Mirna,2020,14.61,11.198,48.721,1.308,9.36,175.854
Mirna,2021,17.142,12.204,53.379,1.32,10.218,224.48
Mirna,2022,15.753,12.8,64.73,1.266,6.119,160.294
Mirna,2023,16.69,13.157,60.14,1.293,7.957,195.44
Mirna,2024,14.112,11.622,62.708,0.401,4.924,181.824
Mirna,2025,11.56,9.68,68.028,0.388,4.129,169.043
Mirna Peč,2020,13.506,10.316,50.818,1.082,7.878,171.738
Mirna Peč,2021,16.171,11.411,52.011,1.151,9.245,218.751
Mirna Peč,2022,14.921,12.112,63.772,1.196,6.127,156.147
Mirna Peč,2023,15.749,12.423,57.482,1.209,7.561,188.664
Mirna Peč,2024,13.019,10.542,61.408,0.353,4.828,176.58
Mirna Peč,2025,11.037,9.16,66.56,0.359,4.267,166.509
Mislinja,2020,13.491,10.091,53.119,0.795,6.59,162.934
Mislinja,2021,14.553,10.405,57.866,0.823,8.346,212.467
Mislinja,2022,14.851,11.038,62.257,0.793,5.784,145.633
Mislinja,2023,14.299,10.742,63.673,0.94,6.594,179.312
Mislinja,2024,11.363,9.257,61.718,0.272,4.248,171.943
Mislinja,2025,9.992,8.319,67.469,0.288,3.216,161.607
Mokronog - Trebelno,2020,14.503,11.1,49.473,1.283,8.367,176.119
Mokronog - Trebelno,2021,17.253,12.302,52.517,1.372,9.741,224.904
Mokronog - Trebelno,2022,15.703,12.842,64.936,1.255,5.569,159.876
Mokronog - Trebelno,2023,16.631,13.235,59.581,1.267,7.215,193.995
Mokronog - Trebelno,2024,13.912,11.432,62.662,0.377,4.329,181.361
Mokronog - Trebelno,2025,11.448,9.589,67.753,0.364,3.568,169.454
Moravče,2020,14.941,11.553,54.607,1.484,8.669,173.342
Moravče,2021,16.652,11.873,62.1,1.235,9.526,220.713
Moravče,2022,16.609,13.389,65.021,1.247,6.004,159.928
Moravče,2023,16.921,13.304,68.145,1.364,7.041,193.668
Moravče,2024,13.557,11.122,65.282,0.408,4.022,176.175
Moravče,2025,11.282,9.39,70.161,0.368,3.153,165.01
Moravske Toplice,2020,17.378,13.187,49.956,1.187,8.138,191.343
Moravske Toplice,2021,18.759,13.966,56.877,1.388,8.243,240.294
Moravske Toplice,2022,15.345,12.737,62.611,1.248,5.464,166.138
Moravske Toplice,2023,15.797,13.004,54.99,1.347,7.605,208.253
Moravske Toplice,2024,14.722,12.326,59.944,0.454,4.937,195.112
Moravske Toplice,2025,11.629,9.853,66.126,0.436,3.828,178.48
Mozirje,2020,13.508,10.172,53.676,1.278,6.846,160.648
Mozirje,2021,14.804,10.417,61.442,1.209,7.642,209.088
Mozirje,2022,15.392,11.853,65.077,1.342,5.343,141.892
Mozirje,2023,14.056,10.776,67.612,1.277,5.298,175.258
Mozirje,2024,10.898,8.541,66.359,0.323,2.888,162.196
Mozirje,2025,10.074,8.243,70.657,0.333,2.421,158.568
Ajdovščina,2020,13.123,9.962,65.741,0.953,7.049,166.459
Ajdovščina,2021,14.352,9.686,62.748,0.968,9.01,202.976
Ajdovščina,2022,14.033,10.994,66.272,1.213,4.981,150.996
Ajdovščina,2023,14.08,11.143,72.586,1.491,6.043,185.261
Ajdovščina,2024,12.143,9.746,68.555,0.448,3.254,169.675
Ajdovščina,2025,10.009,8.161,73.22,0.388,2.686,160.08
Apače,2020,15.575,12.501,54.815,1.223,7.926,193.477
Apače,2021,17.255,13.241,59.591,1.372,8.43,241.442
