event_id,event_name,event_type,pollutant,display_unit,date_from,date_to,day_index,region_code,region_name,value_mean,value_min,value_max,value_stdev,sample_count,no_data_count,data_mask_valid_count,source,aggregation_interval,quality_status
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-29T00:00:00Z,2025-12-30T00:00:00Z,29,SI032,Podravska,30.270263853092363,24.25043284893036,34.64942425489426,2.6087663391526568,180,118,62,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-30T00:00:00Z,2025-12-31T00:00:00Z,30,SI032,Podravska,30.511293499196167,26.7238337546587,33.840421587228775,1.2408941381720566,180,58,122,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,31,SI032,Podravska,34.61555192867915,29.561830684542656,36.70002892613411,1.8638173501492652,180,135,45,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-01T00:00:00Z,2025-12-02T00:00:00Z,1,SI033,Koroška,24.7074971465688,18.66222731769085,30.7328961789608,3.6021660066980408,75,56,19,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-02T00:00:00Z,2025-12-03T00:00:00Z,2,SI033,Koroška,26.294323039196787,20.823171362280846,28.53359840810299,2.0634628107989608,75,54,21,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-03T00:00:00Z,2025-12-04T00:00:00Z,3,SI033,Koroška,27.94165206917872,26.48095041513443,32.34159201383591,1.5300051511730985,75,27,48,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-04T00:00:00Z,2025-12-05T00:00:00Z,4,SI033,Koroška,,,,,75,75,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-05T00:00:00Z,2025-12-06T00:00:00Z,5,SI033,Koroška,29.12113925925008,27.307704091072083,30.809208750724792,1.1365647314093097,75,48,27,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-06T00:00:00Z,2025-12-07T00:00:00Z,6,SI033,Koroška,33.19560888188857,28.08217890560627,36.45707666873932,2.3890181451130172,75,48,27,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-07T00:00:00Z,2025-12-08T00:00:00Z,7,SI033,Koroška,25.277653480975,19.384635612368584,29.259108006954193,2.27950279276424,75,26,49,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-08T00:00:00Z,2025-12-09T00:00:00Z,8,SI033,Koroška,,,,,75,75,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-09T00:00:00Z,2025-12-10T00:00:00Z,9,SI033,Koroška,26.22218057513237,26.22218057513237,26.22218057513237,0.0,75,70,5,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-10T00:00:00Z,2025-12-11T00:00:00Z,10,SI033,Koroška,24.32431067739214,22.967377677559853,26.3112410902977,1.3151596816409683,75,68,7,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-11T00:00:00Z,2025-12-12T00:00:00Z,11,SI033,Koroška,25.788156893746606,17.77496188879013,29.36525084078312,3.1811685118471793,75,46,29,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
